reward,cumulative_regret
0.14,0.36
0.1,0.76
0.15,1.1099999999999999
0.2,1.41
0.13,1.7799999999999998
0.14,2.1399999999999997
0.09,2.55
0.24,2.8099999999999996
0.17,3.1399999999999997
0.13,3.51
0.14,3.8699999999999997
0.15,4.22
0.1,4.62
0.25,4.87
0.29,5.08
0.17,5.41
0.2,5.71
0.21,6.0
0.26,6.24
0.24,6.5
0.29,6.71
0.2,7.01
0.31,7.2
0.29,7.41
0.21,7.7
0.26,7.94
0.22,8.22
0.23,8.49
0.31,8.68
0.33,8.85
0.31,9.04
0.27,9.27
0.26,9.51
0.26,9.75
0.28,9.97
0.27,10.200000000000001
0.31,10.39
0.38,10.51
0.34,10.67
0.27,10.9
0.35,11.05
0.34,11.21
0.32,11.39
0.36,11.530000000000001
0.31,11.72
0.25,11.97
0.39,12.08
0.35,12.23
0.41,12.32
0.38,12.44
0.3,12.639999999999999
0.35,12.79
0.33,12.959999999999999
0.36,13.1
0.3,13.299999999999999
0.37,13.43
0.34,13.59
0.34,13.75
0.39,13.86
0.42,13.94
0.32,14.12
0.33,14.29
0.38,14.409999999999998
0.36,14.549999999999999
0.44,14.61
0.34,14.77
0.33,14.94
0.43,15.01
0.28,15.23
0.34,15.39
0.39,15.5
0.37,15.63
0.38,15.75
0.41,15.84
0.31,16.03
0.5,16.03
0.4,16.130000000000003
0.36,16.270000000000003
0.32,16.450000000000003
0.38,16.570000000000004
0.3,16.770000000000003
0.34,16.930000000000003
0.42,17.01
0.41,17.1
0.37,17.23
0.45,17.28
0.42,17.36
0.35,17.509999999999998
0.46,17.549999999999997
0.35,17.699999999999996
0.4,17.799999999999997
0.39,17.909999999999997
0.45,17.959999999999997
0.41,18.049999999999997
0.35,18.199999999999996
0.38,18.319999999999997
0.37,18.449999999999996
0.39,18.559999999999995
0.29,18.769999999999996
0.43,18.839999999999996
0.35,18.989999999999995
0.42,19.069999999999993
0.39,19.179999999999993
0.39,19.289999999999992
0.38,19.409999999999993
0.44,19.46999999999999
0.37,19.59999999999999
0.37,19.72999999999999
0.33,19.89999999999999
0.45,19.949999999999992
0.41,20.039999999999992
0.48,20.05999999999999
0.46,20.09999999999999
0.41,20.18999999999999
0.27,20.41999999999999
0.42,20.49999999999999
0.52,20.47999999999999
0.37,20.60999999999999
0.34,20.76999999999999
0.33,20.93999999999999
0.29,21.14999999999999
0.45,21.199999999999992
0.4,21.299999999999994
