reward,cumulative_regret
0.12,0.84
0.3,1.5
0.35,2.11
0.55,2.5199999999999996
0.53,2.9499999999999993
0.34,3.5699999999999994
0.74,3.789999999999999
0.22,4.529999999999999
0.88,4.609999999999999
0.61,4.959999999999999
0.32,5.599999999999999
0.57,5.989999999999998
0.88,6.0699999999999985
0.71,6.3199999999999985
0.49,6.789999999999998
0.71,7.039999999999998
0.71,7.289999999999998
0.98,7.269999999999998
0.09,8.139999999999997
0.86,8.239999999999997
0.43,8.769999999999996
0.93,8.799999999999995
0.57,9.189999999999996
0.5,9.649999999999995
0.52,10.089999999999995
0.33,10.719999999999995
0.5,11.179999999999996
0.51,11.629999999999995
0.67,11.919999999999995
0.57,12.309999999999995
0.67,12.599999999999994
0.81,12.749999999999995
0.62,13.089999999999995
0.67,13.379999999999994
0.62,13.719999999999994
0.6,14.079999999999993
0.72,14.319999999999993
0.73,14.549999999999994
0.75,14.759999999999994
0.79,14.929999999999994
0.78,15.109999999999994
0.72,15.349999999999994
0.71,15.599999999999994
0.73,15.829999999999995
0.83,15.959999999999996
0.81,16.109999999999996
0.75,16.319999999999997
0.78,16.499999999999996
0.81,16.649999999999995
0.81,16.799999999999994
0.82,16.939999999999994
0.8,17.099999999999994
0.77,17.289999999999996
0.78,17.469999999999995
0.79,17.639999999999993
0.83,17.769999999999992
0.86,17.869999999999994
0.79,18.039999999999992
0.82,18.179999999999993
0.8,18.339999999999993
0.91,18.389999999999993
0.87,18.479999999999993
0.87,18.569999999999993
0.85,18.679999999999993
0.81,18.82999999999999
0.86,18.929999999999993
0.84,19.049999999999994
0.87,19.139999999999993
0.86,19.239999999999995
0.88,19.319999999999993
0.88,19.39999999999999
0.93,19.429999999999993
0.89,19.499999999999993
0.86,19.599999999999994
0.87,19.689999999999994
0.85,19.799999999999994
0.86,19.899999999999995
0.88,19.979999999999993
0.86,20.079999999999995
0.84,20.199999999999996
0.84,20.319999999999997
0.89,20.389999999999997
0.87,20.479999999999997
0.87,20.569999999999997
0.9,20.629999999999995
0.9,20.689999999999994
0.85,20.799999999999994
0.81,20.949999999999992
0.83,21.07999999999999
0.81,21.22999999999999
0.92,21.26999999999999
0.79,21.43999999999999
0.82,21.57999999999999
0.81,21.72999999999999
0.8,21.88999999999999
0.87,21.97999999999999
0.81,22.12999999999999
0.8,22.28999999999999
0.88,22.369999999999987
0.8,22.529999999999987
0.8,22.689999999999987
0.76,22.889999999999986
0.81,23.039999999999985
0.8,23.199999999999985
0.85,23.309999999999985
0.83,23.439999999999984
0.84,23.559999999999985
0.81,23.709999999999983
0.83,23.839999999999982
0.82,23.979999999999983
0.82,24.119999999999983
0.82,24.259999999999984
0.83,24.389999999999983
0.76,24.589999999999982
0.8,24.749999999999982
0.86,24.849999999999984
0.83,24.979999999999983
0.77,25.169999999999984
0.82,25.309999999999985
0.84,25.429999999999986
0.83,25.559999999999985
0.86,25.659999999999986
0.87,25.749999999999986
0.85,25.859999999999985
0.83,25.989999999999984
0.85,26.099999999999984
0.82,26.239999999999984
0.81,26.389999999999983
0.81,26.53999999999998
0.82,26.679999999999982
0.77,26.869999999999983
0.8,27.029999999999983
0.82,27.169999999999984
0.78,27.349999999999984
0.78,27.529999999999983
0.79,27.69999999999998
0.78,27.87999999999998
0.84,27.999999999999982
0.8,28.159999999999982
0.76,28.35999999999998
0.8,28.519999999999982
0.75,28.729999999999983
0.72,28.96999999999998
0.74,29.18999999999998
0.73,29.41999999999998
0.72,29.65999999999998
0.74,29.879999999999978
0.76,30.079999999999977
0.76,30.279999999999976
0.79,30.449999999999974
0.78,30.629999999999974
0.74,30.849999999999973
0.77,31.039999999999974
0.8,31.199999999999974
0.75,31.409999999999975
0.73,31.639999999999976
0.87,31.729999999999976
0.75,31.939999999999976
0.81,32.089999999999975
0.81,32.239999999999974
0.82,32.379999999999974
0.73,32.60999999999997
0.78,32.78999999999997
0.75,32.99999999999997
0.72,33.239999999999974
0.67,33.52999999999997
0.72,33.769999999999975
0.77,33.95999999999997
0.86,34.059999999999974
0.73,34.28999999999997
0.79,34.45999999999997
0.79,34.629999999999974
0.74,34.84999999999997
0.77,35.03999999999997
0.84,35.15999999999997
0.8,35.319999999999965
0.8,35.47999999999996
0.8,35.63999999999996
0.84,35.759999999999955
0.84,35.87999999999995
0.84,35.99999999999995
0.78,36.17999999999995
0.81,36.32999999999995
0.82,36.46999999999995
0.81,36.61999999999995
0.85,36.72999999999995
0.82,36.86999999999995
0.84,36.989999999999945
0.84,37.10999999999994
0.79,37.279999999999944
0.79,37.449999999999946
0.84,37.56999999999994
0.82,37.709999999999944
0.81,37.85999999999994
0.8,38.01999999999994
0.85,38.12999999999994
0.83,38.25999999999994
0.81,38.40999999999994
0.74,38.62999999999994
0.79,38.79999999999994
0.81,38.94999999999994
0.78,39.12999999999994
0.78,39.30999999999994
0.78,39.48999999999994
0.69,39.75999999999994
0.8,39.91999999999994
0.77,40.109999999999935
0.77,40.29999999999993
0.83,40.429999999999936
0.85,40.539999999999935
0.8,40.69999999999993
0.75,40.90999999999993
0.75,41.11999999999993
0.88,41.19999999999993
0.82,41.33999999999993
0.82,41.47999999999993
0.81,41.62999999999993
0.76,41.829999999999934
0.85,41.939999999999934
0.8,42.09999999999993
0.87,42.189999999999934
0.79,42.359999999999935
0.84,42.47999999999993
0.78,42.65999999999993
0.87,42.749999999999936
0.84,42.86999999999993
0.79,43.039999999999935
0.8,43.19999999999993
0.83,43.329999999999934
0.77,43.51999999999993
0.77,43.70999999999993
0.83,43.83999999999993
0.81,43.98999999999993
0.86,44.08999999999993
0.87,44.179999999999936
0.76,44.37999999999994
0.85,44.48999999999994
0.84,44.609999999999935
0.82,44.749999999999936
0.88,44.829999999999934
0.87,44.91999999999994
0.86,45.01999999999994
0.84,45.13999999999994
0.85,45.249999999999936
0.92,45.289999999999935
0.89,45.359999999999935
0.85,45.469999999999935
0.87,45.55999999999994
0.81,45.70999999999994
0.8,45.86999999999993
0.82,46.009999999999934
0.86,46.109999999999935
0.81,46.259999999999934
0.81,46.40999999999993
0.87,46.499999999999936
0.88,46.579999999999934
0.88,46.65999999999993
0.86,46.759999999999934
0.78,46.939999999999934
0.81,47.08999999999993
0.83,47.219999999999935
0.89,47.289999999999935
0.84,47.40999999999993
0.84,47.52999999999993
0.86,47.62999999999993
0.84,47.74999999999993
0.86,47.84999999999993
0.86,47.94999999999993
0.88,48.02999999999993
0.9,48.08999999999993
0.83,48.219999999999935
0.91,48.26999999999993
0.87,48.359999999999935
0.87,48.44999999999994
0.86,48.54999999999994
0.84,48.66999999999994
0.86,48.76999999999994
0.88,48.84999999999994
0.84,48.969999999999935
0.88,49.04999999999993
0.87,49.13999999999994
0.82,49.27999999999994
0.85,49.38999999999994
0.88,49.469999999999935
0.82,49.609999999999935
0.84,49.72999999999993
0.81,49.87999999999993
0.87,49.969999999999935
0.81,50.11999999999993
0.79,50.289999999999935
0.77,50.47999999999993
0.86,50.579999999999934
0.77,50.76999999999993
0.87,50.859999999999935
0.87,50.94999999999994
0.85,51.05999999999994
0.85,51.16999999999994
0.91,51.219999999999935
0.9,51.27999999999994
0.91,51.329999999999934
0.86,51.429999999999936
0.92,51.469999999999935
0.91,51.51999999999993
0.87,51.609999999999935
0.85,51.719999999999935
0.87,51.80999999999994
0.83,51.93999999999994
0.88,52.01999999999994
0.87,52.10999999999994
0.83,52.239999999999945
0.88,52.31999999999994
0.89,52.389999999999944
0.84,52.50999999999994
0.87,52.599999999999945
0.88,52.67999999999994
0.87,52.769999999999946
0.86,52.86999999999995
0.9,52.92999999999995
0.84,53.04999999999995
0.91,53.099999999999945
0.87,53.18999999999995
0.88,53.269999999999946
0.9,53.32999999999995
0.84,53.449999999999946
0.85,53.559999999999945
0.86,53.65999999999995
0.8,53.81999999999994
0.89,53.889999999999944
0.78,54.06999999999994
0.88,54.14999999999994
0.8,54.30999999999994
0.85,54.41999999999994
0.8,54.579999999999934
0.82,54.719999999999935
0.89,54.789999999999935
0.87,54.87999999999994
0.88,54.95999999999994
0.86,55.05999999999994
0.86,55.15999999999994
0.83,55.28999999999994
0.86,55.389999999999944
0.82,55.529999999999944
0.88,55.60999999999994
0.86,55.709999999999944
