reward,cumulative_regret
0.14,0.82
0.19,1.5899999999999999
0.22,2.33
0.27,3.02
0.24,3.74
0.29,4.41
0.28,5.09
0.29,5.76
0.34,6.38
0.23,7.109999999999999
0.32,7.749999999999999
0.37,8.34
0.37,8.93
0.48,9.41
0.43,9.94
0.46,10.44
0.44,10.959999999999999
0.45,11.469999999999999
0.46,11.969999999999999
0.51,12.419999999999998
0.56,12.819999999999999
0.6,13.179999999999998
0.61,13.529999999999998
0.58,13.909999999999998
0.58,14.29
0.58,14.67
0.62,15.01
0.62,15.35
0.68,15.629999999999999
0.63,15.959999999999999
0.6,16.32
0.65,16.63
0.63,16.959999999999997
0.68,17.24
0.56,17.639999999999997
0.67,17.929999999999996
0.6,18.289999999999996
0.67,18.579999999999995
0.64,18.899999999999995
0.71,19.149999999999995
0.69,19.419999999999995
0.6,19.779999999999994
0.74,19.999999999999993
0.76,20.199999999999992
0.68,20.479999999999993
0.71,20.729999999999993
0.73,20.959999999999994
0.68,21.239999999999995
0.74,21.459999999999994
0.66,21.759999999999994
0.76,21.959999999999994
0.77,22.149999999999995
0.72,22.389999999999993
0.66,22.689999999999994
0.72,22.929999999999993
0.74,23.14999999999999
0.7,23.409999999999993
0.76,23.609999999999992
0.74,23.82999999999999
0.78,24.00999999999999
0.77,24.199999999999992
0.73,24.429999999999993
0.78,24.609999999999992
0.77,24.799999999999994
0.78,24.979999999999993
0.77,25.169999999999995
0.83,25.299999999999994
0.81,25.449999999999992
0.72,25.68999999999999
0.77,25.879999999999992
0.78,26.05999999999999
0.75,26.269999999999992
0.84,26.389999999999993
0.76,26.589999999999993
0.78,26.769999999999992
0.87,26.859999999999992
0.78,27.039999999999992
0.77,27.229999999999993
0.8,27.389999999999993
0.76,27.589999999999993
0.75,27.799999999999994
0.73,28.029999999999994
0.78,28.209999999999994
0.71,28.459999999999994
0.76,28.659999999999993
0.79,28.82999999999999
0.77,29.019999999999992
0.81,29.16999999999999
0.75,29.379999999999992
0.81,29.52999999999999
0.87,29.61999999999999
0.87,29.70999999999999
0.76,29.90999999999999
0.76,30.10999999999999
0.82,30.24999999999999
0.82,30.38999999999999
0.84,30.50999999999999
0.84,30.629999999999992
0.81,30.77999999999999
0.88,30.85999999999999
0.84,30.97999999999999
0.8,31.13999999999999
0.81,31.28999999999999
0.8,31.44999999999999
0.81,31.599999999999987
0.86,31.69999999999999
0.78,31.87999999999999
0.86,31.97999999999999
0.87,32.06999999999999
0.79,32.239999999999995
0.8,32.39999999999999
0.84,32.51999999999999
0.89,32.58999999999999
0.85,32.69999999999999
0.77,32.889999999999986
0.85,32.999999999999986
0.82,33.139999999999986
0.85,33.249999999999986
0.81,33.399999999999984
0.81,33.54999999999998
0.83,33.679999999999986
0.81,33.829999999999984
0.82,33.969999999999985
0.83,34.09999999999999
0.84,34.219999999999985
0.87,34.30999999999999
0.85,34.41999999999999
0.84,34.539999999999985
0.84,34.65999999999998
0.87,34.749999999999986
0.83,34.87999999999999
0.83,35.00999999999999
0.75,35.21999999999999
0.8,35.37999999999999
0.84,35.499999999999986
0.86,35.59999999999999
0.84,35.719999999999985
0.88,35.79999999999998
0.82,35.93999999999998
0.83,36.069999999999986
0.88,36.149999999999984
0.87,36.23999999999999
0.86,36.33999999999999
0.82,36.47999999999999
0.82,36.61999999999999
0.86,36.71999999999999
0.83,36.849999999999994
0.84,36.96999999999999
0.84,37.08999999999999
0.86,37.18999999999999
0.8,37.34999999999999
0.87,37.43999999999999
0.83,37.56999999999999
0.8,37.72999999999999
0.87,37.81999999999999
0.84,37.93999999999999
0.82,38.07999999999999
0.85,38.18999999999999
0.81,38.33999999999999
0.83,38.46999999999999
0.86,38.56999999999999
0.81,38.71999999999999
0.85,38.82999999999999
0.91,38.87999999999999
0.88,38.95999999999999
0.84,39.079999999999984
0.88,39.15999999999998
0.89,39.22999999999998
0.81,39.37999999999998
0.84,39.49999999999998
0.84,39.619999999999976
0.8,39.77999999999997
0.85,39.88999999999997
0.86,39.989999999999974
0.87,40.07999999999998
0.93,40.10999999999998
0.81,40.25999999999998
0.83,40.38999999999998
0.79,40.55999999999998
0.87,40.649999999999984
0.81,40.79999999999998
0.82,40.93999999999998
0.87,41.02999999999999
0.82,41.16999999999999
0.88,41.249999999999986
0.8,41.40999999999998
0.9,41.469999999999985
0.83,41.59999999999999
0.81,41.749999999999986
0.84,41.86999999999998
0.85,41.97999999999998
0.85,42.08999999999998
0.83,42.219999999999985
0.93,42.249999999999986
0.81,42.399999999999984
0.8,42.55999999999998
0.8,42.71999999999998
0.83,42.84999999999998
